"DRD350DQ.Code.or.Value","DRD350DQ.Value.Description","DRD350DQ.Count","DRD350DQ.Cumulative","DRD350DQ.Skip.to.Item"
"1 to 22","Range of Values",256,256,NA
".","Missing",9506,9762,NA
