"LBDBGMLC.Code.or.Value","LBDBGMLC.Value.Description","LBDBGMLC.Count","LBDBGMLC.Cumulative","LBDBGMLC.Skip.to.Item"
"0","At or above the detection limit",3855,3855,NA
"1","Below lower detection limit",1320,5175,NA
".","Missing",757,5932,NA
