"OSQ020b.Code.or.Value","OSQ020b.Value.Description","OSQ020b.Count","OSQ020b.Cumulative","OSQ020b.Skip.to.Item"
"1 to 7","Range of Values",548,548,""
"7777","Refused",0,548,"OSQ010c"
"9999","Don't know",1,549,"OSQ010c"
".","Missing",5386,5935,""
