"WTMREP21.Code.or.Value","WTMREP21.Value.Description","WTMREP21.Count","WTMREP21.Cumulative","WTMREP21.Skip.to.Item"
"0 to 261040.57842","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
