"URDUBELC.Code.or.Value","URDUBELC.Value.Description","URDUBELC.Count","URDUBELC.Cumulative","URDUBELC.Skip.to.Item"
"0","At or above the detection limit",5,5,NA
"1","Below lower detection limit",2571,2576,NA
".","Missing",116,2692,NA
