"DSQIVB1.Code.or.Value","DSQIVB1.Value.Description","DSQIVB1.Count","DSQIVB1.Cumulative","DSQIVB1.Skip.to.Item"
"0.052 to 3000","Range of Values",2427,2427,NA
".","Missing",5973,8400,NA
