"SMD415B.Code.or.Value","SMD415B.Value.Description","SMD415B.Count","SMD415B.Cumulative","SMD415B.Skip.to.Item"
"1","1",292,292,NA
"2","2 or More",50,342,NA
".","Missing",9623,9965,NA
