"LBDENDLC.Code.or.Value","LBDENDLC.Value.Description","LBDENDLC.Count","LBDENDLC.Cumulative","LBDENDLC.Skip.to.Item"
"0","detectable result",3,3,NA
"1","below detectable limit",2184,2187,NA
".","Missing",360,2547,NA
