"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.21 to 9600","Range of Values",8052,8052,NA
".","Missing",239,8291,NA
