"DS1TMAGN.Code.or.Value","DS1TMAGN.Value.Description","DS1TMAGN.Count","DS1TMAGN.Cumulative","DS1TMAGN.Skip.to.Item"
"0.1 to 1348.8","Range of Values",1567,1567,NA
".","Missing",8686,10253,NA
