"DR2IVK.Code.or.Value","DR2IVK.Value.Description","DR2IVK.Count","DR2IVK.Cumulative","DR2IVK.Skip.to.Item"
"0 to 3491.3","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
