"URDATCLC.Code.or.Value","URDATCLC.Value.Description","URDATCLC.Count","URDATCLC.Cumulative","URDATCLC.Skip.to.Item"
"0","At or above the detection limit",2198,2198,NA
"1","Below lower detection limit",971,3169,NA
".","Missing",148,3317,NA
