"URDFLOW3.Code.or.Value","URDFLOW3.Value.Description","URDFLOW3.Count","URDFLOW3.Cumulative","URDFLOW3.Skip.to.Item"
"0 to 6.905","Range of Values",46,46,NA
".","Missing",8562,8608,NA
