"LBXACR.Code.or.Value","LBXACR.Value.Description","LBXACR.Count","LBXACR.Cumulative","LBXACR.Skip.to.Item"
"2.12 to 862","Range of Values",7857,7857,NA
".","Missing",896,8753,NA
