"AUAFMANR.Code.or.Value","AUAFMANR.Value.Description","AUAFMANR.Count","AUAFMANR.Cumulative","AUAFMANR.Skip.to.Item"
"1","None",1683,1683,NA
"2","500 Hz",0,1683,NA
"3","1000 Hz",1,1684,NA
"4","2000 Hz",0,1684,NA
"5","3000 Hz",1,1685,NA
"6","4000 Hz",1,1686,NA
"7","6000 Hz",4,1690,NA
"8","8000 Hz",17,1707,NA
".","Missing",100,1807,NA
