"DXXTRLI.Code.or.Value","DXXTRLI.Value.Description","DXXTRLI.Count","DXXTRLI.Cumulative","DXXTRLI.Skip.to.Item"
"5606.9 to 57666.7","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
