"PFD069E.Code.or.Value","PFD069E.Value.Description","PFD069E.Count","PFD069E.Cumulative","PFD069E.Skip.to.Item"
"1825 to 13140","Range of Values",4,4,NA
"66666","Since birth",4,8,NA
"77777","Refused",0,8,NA
"99999","Don't know",0,8,NA
".","Missing",9637,9645,NA
