"URXPRO.Code.or.Value","URXPRO.Value.Description","URXPRO.Count","URXPRO.Cumulative","URXPRO.Skip.to.Item"
"0.035 to 0.07","Range of Values",2247,2247,NA
".","Missing",365,2612,NA
