"URDOXSLC.Code.or.Value","URDOXSLC.Value.Description","URDOXSLC.Count","URDOXSLC.Cumulative","URDOXSLC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2354,2355,NA
".","Missing",257,2612,NA
