"BIXC020K.Code.or.Value","BIXC020K.Value.Description","BIXC020K.Count","BIXC020K.Cumulative","BIXC020K.Skip.to.Item"
"23.84 to 307.77","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
