"VIXKLMM.Code.or.Value","VIXKLMM.Value.Description","VIXKLMM.Count","VIXKLMM.Cumulative","VIXKLMM.Skip.to.Item"
"6.27 to 9.3","Range of Values",6962,6962,NA
"88","Could not obtain",49,7011,NA
".","Missing",434,7445,NA
