"DRXTM161.Code.or.Value","DRXTM161.Value.Description","DRXTM161.Count","DRXTM161.Cumulative","DRXTM161.Skip.to.Item"
"0 to 22.88","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
