"PFQ041.Code.or.Value","PFQ041.Value.Description","PFQ041.Count","PFQ041.Cumulative","PFQ041.Skip.to.Item"
"1","Yes",253,253,NA
"2","No",2234,2487,NA
"7","Refused",0,2487,NA
"9","Don't know",2,2489,NA
".","Missing",6527,9016,NA
