"DSQTMFAT.Code.or.Value","DSQTMFAT.Value.Description","DSQTMFAT.Count","DSQTMFAT.Cumulative","DSQTMFAT.Skip.to.Item"
"0.0001 to 9","Range of Values",80,80,NA
".","Missing",10095,10175,NA
