"FSD670ZC.Code.or.Value","FSD670ZC.Value.Description","FSD670ZC.Count","FSD670ZC.Cumulative","FSD670ZC.Skip.to.Item"
"0 to 60","Range of Values",980,980,NA
"777","Refused",1,981,NA
"999","Don't know",13,994,NA
".","Missing",8977,9971,NA
