"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"47 to 84","Range of Values",6157,6157,NA
"7777","Refused",1,6158,NA
"9999","Don't know",167,6325,NA
".","Missing",2,6327,NA
