"DUQ280.Code.or.Value","DUQ280.Value.Description","DUQ280.Count","DUQ280.Cumulative","DUQ280.Skip.to.Item"
"1 to 30","Range of Values",48,48,NA
"77","Refused",0,48,NA
"99","Don't know",1,49,NA
".","Missing",3236,3285,NA
