"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.18 to 61.29","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
