"LBDTHGLC.Code.or.Value","LBDTHGLC.Value.Description","LBDTHGLC.Count","LBDTHGLC.Cumulative","LBDTHGLC.Skip.to.Item"
"0","At or above the detection limit",6791,6791,NA
"1","Below lower detection limit",2002,8793,NA
".","Missing",1042,9835,NA
