"SMD415A.Code.or.Value","SMD415A.Value.Description","SMD415A.Count","SMD415A.Cumulative","SMD415A.Skip.to.Item"
"1 to 2","Range of Values",1545,1545,NA
"3","3 or more",135,1680,NA
".","Missing",8668,10348,NA
