"DR2IS060.Code.or.Value","DR2IS060.Value.Description","DR2IS060.Count","DR2IS060.Cumulative","DR2IS060.Skip.to.Item"
"0 to 2.436","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
