"PAD675.Code.or.Value","PAD675.Value.Description","PAD675.Count","PAD675.Cumulative","PAD675.Skip.to.Item"
"10 to 600","Range of Values",2969,2969,NA
"7777","Refused",0,2969,NA
"9999","Don't know",2,2971,NA
".","Missing",6800,9771,NA
