"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"25.64 to 1539.04","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
