"OHQ630.Code.or.Value","OHQ630.Value.Description","OHQ630.Count","OHQ630.Cumulative","OHQ630.Skip.to.Item"
"1","Very often",125,125,NA
"2","Fairly often",147,272,NA
"3","Occasionally",353,625,NA
"4","Hardly ever, or",534,1159,NA
"5","Never?",5042,6201,NA
"7","Refused",1,6202,NA
"9","Don't know",11,6213,NA
".","Missing",3091,9304,NA
