"WTIREP37.Code.or.Value","WTIREP37.Value.Description","WTIREP37.Count","WTIREP37.Cumulative","WTIREP37.Skip.to.Item"
"0 to 237794.97698","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
