"RXQ510.Code.or.Value","RXQ510.Value.Description","RXQ510.Count","RXQ510.Cumulative","RXQ510.Skip.to.Item"
"1","Yes",1284,1284,""
"2","No",2524,3808,"RXQ520"
"7","Refused",3,3811,"RXQ520"
"9","Don't know",4,3815,"RXQ520"
".","Missing",0,3815,""
