"SPXBPEF.Code.or.Value","SPXBPEF.Value.Description","SPXBPEF.Count","SPXBPEF.Cumulative","SPXBPEF.Skip.to.Item"
"1575 to 13551","Range of Values",457,457,NA
".","Missing",7038,7495,NA
