"DR2TCALC.Code.or.Value","DR2TCALC.Value.Description","DR2TCALC.Count","DR2TCALC.Cumulative","DR2TCALC.Skip.to.Item"
"0 to 9053","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
