"DS2TKCAL.Code.or.Value","DS2TKCAL.Value.Description","DS2TKCAL.Count","DS2TKCAL.Cumulative","DS2TKCAL.Skip.to.Item"
"1 to 450","Range of Values",1272,1272,NA
".","Missing",8541,9813,NA
