"LEXBRP2.Code.or.Value","LEXBRP2.Value.Description","LEXBRP2.Count","LEXBRP2.Cumulative","LEXBRP2.Skip.to.Item"
"91 to 236","Range of Values",1080,1080,NA
".","Missing",1795,2875,NA
