"MCQ260FD.Code.or.Value","MCQ260FD.Value.Description","MCQ260FD.Count","MCQ260FD.Cumulative","MCQ260FD.Skip.to.Item"
"4","Mother's father",56,56,"MCQ250G"
".","Missing",9437,9493,""
