"VTQ281E.Code.or.Value","VTQ281E.Value.Description","VTQ281E.Count","VTQ281E.Cumulative","VTQ281E.Skip.to.Item"
"1","Yes",160,160,""
"2","No",2608,2768,"End of Section"
"7","Refused",0,2768,"End of Section"
"9","Don't know",0,2768,"End of Section"
".","Missing",404,3172,""
