"URXBUP.Code.or.Value","URXBUP.Value.Description","URXBUP.Count","URXBUP.Cumulative","URXBUP.Skip.to.Item"
"0.14 to 308","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
