"LBC099LA.Code.or.Value","LBC099LA.Value.Description","LBC099LA.Count","LBC099LA.Cumulative","LBC099LA.Skip.to.Item"
"0.16 to 40.99","Range of Values",247,247,NA
".","Missing",0,247,NA
