"BMXHT.Code.or.Value","BMXHT.Value.Description","BMXHT.Count","BMXHT.Cumulative","BMXHT.Skip.to.Item"
"79.8 to 204.1","Range of Values",8962,8962,NA
".","Missing",988,9950,NA
