"FFQ0058A.Code.or.Value","FFQ0058A.Value.Description","FFQ0058A.Count","FFQ0058A.Cumulative","FFQ0058A.Skip.to.Item"
1,"Almost never or never",3311,3311,NA
2,"About 1/4 of the time",1083,4394,NA
3,"About 1/2 of the time",691,5085,NA
4,"About 3/4 of the time",305,5390,NA
5,"Almost always or always",540,5930,NA
88,"Blank",541,6471,NA
99,"Error",1,6472,NA
