"DR1IP183.Code.or.Value","DR1IP183.Value.Description","DR1IP183.Count","DR1IP183.Cumulative","DR1IP183.Skip.to.Item"
"0 to 8.29","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
