"DS1IVB1.Code.or.Value","DS1IVB1.Value.Description","DS1IVB1.Count","DS1IVB1.Cumulative","DS1IVB1.Skip.to.Item"
"0.005 to 1500","Range of Values",1380,1380,NA
".","Missing",4314,5694,NA
