"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 150.118","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
