"LBCBR5LA.Code.or.Value","LBCBR5LA.Value.Description","LBCBR5LA.Count","LBCBR5LA.Cumulative","LBCBR5LA.Skip.to.Item"
"1.5 to 70.8","Range of Values",247,247,NA
".","Missing",0,247,NA
