"RFXT077.Code.or.Value","RFXT077.Value.Description","RFXT077.Count","RFXT077.Cumulative","RFXT077.Skip.to.Item"
"663 to 672","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
