"OSQ090i.Code.or.Value","OSQ090i.Value.Description","OSQ090i.Count","OSQ090i.Cumulative","OSQ090i.Skip.to.Item"
"1","Yes",4,4,"OSQ120i"
"2","No",0,4,""
"7","Refused",0,4,"OSQ120i"
"9","Don't know",0,4,"OSQ120i"
".","Missing",5931,5935,""
