"DMDHRGND.Code.or.Value","DMDHRGND.Value.Description","DMDHRGND.Count","DMDHRGND.Cumulative","DMDHRGND.Skip.to.Item"
"1","Male",4629,4629,NA
"2","Female",4625,9254,NA
".","Missing",0,9254,NA
