"LBDFOLSI.Code.or.Value","LBDFOLSI.Value.Description","LBDFOLSI.Count","LBDFOLSI.Cumulative","LBDFOLSI.Skip.to.Item"
"2.3 to 498.3","Range of Values",7526,7526,NA
".","Missing",1306,8832,NA
