"DR1TFDFE.Code.or.Value","DR1TFDFE.Value.Description","DR1TFDFE.Count","DR1TFDFE.Cumulative","DR1TFDFE.Skip.to.Item"
"0 to 7676","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
