"DRXTSFAT.Code.or.Value","DRXTSFAT.Value.Description","DRXTSFAT.Count","DRXTSFAT.Cumulative","DRXTSFAT.Skip.to.Item"
"0 to 201.61","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
