"LBXBGM.Code.or.Value","LBXBGM.Value.Description","LBXBGM.Count","LBXBGM.Cumulative","LBXBGM.Skip.to.Item"
"0.08 to 39.45","Range of Values",4938,4938,NA
".","Missing",877,5815,NA
