"URDBP3LC.Code.or.Value","URDBP3LC.Value.Description","URDBP3LC.Count","URDBP3LC.Cumulative","URDBP3LC.Skip.to.Item"
"0","At or above the detection limit",2599,2599,NA
"1","Below lower detection limit",87,2686,NA
".","Missing",91,2777,NA
