"LBCPCB.Code.or.Value","LBCPCB.Value.Description","LBCPCB.Count","LBCPCB.Cumulative","LBCPCB.Skip.to.Item"
"11.9 to 560","Range of Values",247,247,NA
".","Missing",17,264,NA
