"DS2TPOTA.Code.or.Value","DS2TPOTA.Value.Description","DS2TPOTA.Count","DS2TPOTA.Cumulative","DS2TPOTA.Skip.to.Item"
"0.05 to 1050","Range of Values",689,689,NA
".","Missing",8649,9338,NA
