"OHD18LAS.Code.or.Value","OHD18LAS.Value.Description","OHD18LAS.Count","OHD18LAS.Cumulative","OHD18LAS.Skip.to.Item"
"0 to 9","Range of Values",2244,2244,NA
"99","Calculation cannot be determined",536,2780,NA
".","Missing",4350,7130,NA
