"DRD370KQ.Code.or.Value","DRD370KQ.Value.Description","DRD370KQ.Count","DRD370KQ.Cumulative","DRD370KQ.Skip.to.Item"
"1 to 20","Range of Values",151,151,NA
".","Missing",9799,9950,NA
