"URXMU7.Code.or.Value","URXMU7.Value.Description","URXMU7.Count","URXMU7.Cumulative","URXMU7.Skip.to.Item"
"0.04 to 70.7","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
