"LEXBRPM.Code.or.Value","LEXBRPM.Value.Description","LEXBRPM.Count","LEXBRPM.Cumulative","LEXBRPM.Skip.to.Item"
"56 to 250","Range of Values",2658,2658,NA
".","Missing",428,3086,NA
